call_date,ticker,analyst_name,broker,rating_post_clean,price_target_post,outcome,days_to_hit
2012-08-09,AAPL,AARON RAKERS,STIFEL,BULLISH,29.46,THESIS_BROKEN,
2013-09-06,AAPL,AARON RAKERS,STIFEL,BULLISH,19.29,TARGET_ACHIEVED,82.0
2013-10-29,AAPL,AARON RAKERS,STIFEL,BULLISH,21.43,TARGET_ACHIEVED,188.0
2013-12-23,AAPL,AARON RAKERS,STIFEL,BULLISH,23.21,TARGET_ACHIEVED,165.0
2014-12-29,AAPL,AARON RAKERS,STIFEL,BULLISH,32.5,TARGET_ACHIEVED,56.0
2015-04-06,AAPL,AARON RAKERS,STIFEL,BULLISH,37.5,THESIS_BROKEN,
2015-07-02,AAPL,AARON RAKERS,STIFEL,BULLISH,37.5,THESIS_BROKEN,
2015-09-28,AAPL,AARON RAKERS,STIFEL,BULLISH,37.5,TIME_EXPIRED,
2015-10-13,AAPL,AARON RAKERS,STIFEL,BULLISH,37.5,TIME_EXPIRED,
2015-10-20,AAPL,AARON RAKERS,STIFEL,BULLISH,37.5,THESIS_BROKEN,
2015-12-11,AAPL,AARON RAKERS,STIFEL,BULLISH,37.5,THESIS_BROKEN,
2016-01-22,AAPL,AARON RAKERS,STIFEL,BULLISH,35.0,TIME_EXPIRED,
2016-03-21,AAPL,AARON RAKERS,STIFEL,BULLISH,30.0,TARGET_ACHIEVED,302.0
2016-04-27,AAPL,AARON RAKERS,STIFEL,BULLISH,30.0,TARGET_ACHIEVED,265.0
2016-09-08,AAPL,AARON RAKERS,STIFEL,BULLISH,30.0,TARGET_ACHIEVED,131.0
2016-09-13,AAPL,AARON RAKERS,STIFEL,BULLISH,30.0,TARGET_ACHIEVED,126.0
2017-02-28,AAPL,AARON RAKERS,STIFEL,BULLISH,32.5,TARGET_ACHIEVED,1.0
2020-03-13,AAPL,AARON RAKERS,WELLS FARGO,BULLISH,78.75,TARGET_ACHIEVED,59.0
2020-04-14,AAPL,AARON RAKERS,WELLS FARGO,BULLISH,78.75,TARGET_ACHIEVED,27.0
